Penguin 1,Penguin 2,Info
Hachi,Bukkou,successful matchmaking
Saya,Kamanza,staff shocked! and 17 years age gap couple
Ino,Takakura,always on underwater dates
Matsuya,Tanba,don't spend time together except at night
Bon,Yosha,first boyfriend/first girlfriend
Mari,Takara,no more rivals and relationship is secure
Hana,Naka,Naka does not like Kuruma/Nijou's flirting with Hana
Yasaka,Horikawa,flirts after guests go home
Koromo,Higashi,got back with ex (stolen by Bukkou)
Ume,Take,sleep together and promoted from friends
