Name,Gender,Info
Muro,F,invaded another penguin's house thinking it was her own
Takatsuji,M,has a heart on his tail
Juujou,M,always has dirty face because of throwing fish around while eating
Kujou,F,slow eater
Kamanza,M,"oldest and called ""Kamanji"""
Ryou,M,hates humans and runs fast
Rokujou,F,hates humans after dating Ryou and infected by her husband
Nishi,M,overly doting father
Yanagi,M,basically does not work
Sakura,M,approached Tera after becoming an adult - IMMEDIATE DEFEAT
Moto,F,expresses love by gently biting her boyfriend's wing
Osshii,M,wants to constrain his lover a lot
Hachi,F,dominates her boyfriend
Chie,F,“Monroe walk”
Kami,M,timid in love
Ino,F,underwater love
Joufuku,M,good at initial approach
Kagura,F,active girl
Matsuya,M,indifferent in love
Saya,F,aggressive
Bon,F,walks pigeon-toed
Oike,M,former gang leader and defeated by his son Kuro
Matsu,F,was rejected by various males but now is with Man
Man,M,too accepting of things that come to him
Nako,M,gentleman towards humans + penguins
Kuruma,M,the type that wants to eat alone and likes males + females
Koko,F,a little bit devilish
Rokkaku,M,amazingly attached to his home
Takara,M,doesn't worry about protecting his girlfriend
Same,M,can't help loving his sister Tera
Tera,F,demonic
Aya,M,sweet
Shichijou,F,"lives on the highest rock (called ""Tawa-man"" which is short for high-rise)"
Ebisu,M,thinks he's married to Fujimoto-san
Nijou,M,
Hana,F,impressive little devil
Oomiya,M,drawn to older ladies
Chara,F,leaves Maru behind to go out alone
Horikawa,M,keeps distance from humans
Mikage,M,works agilely at mealtimes
Kuro,M,current gang leader and fights near home and fight power takes two
Higashi,M,rock collector
Ane,F,food fighter and takes husband's food
Shijou,M,not troublesome and honor student
Shinmachi,M,media friendly and likes people more than penguins
Takakura,M,be cool
Yasaka,F,chases her own fallen feathers
Take,M,tsundere
Ume,F,big eyes
Koromo,F,adventurer
Maru,M,guards home
Naka,M,the type that doesn't worry about personal space
Yoshiya,M,average face
Tanba,F,sharp beak and dangerous
Bukkou,M,grumpy old man
Abura,M,opens heart to specific staff members and curly hair
Sen,M,lone wolf
Mari,F,waits for food delivery
Hari ,F,alone and surprised and runs around alone
